#Data take from Libert et al 2017
#https://www.ncbi.nlm.nih.gov/pubmed/29063188
N	Long	Lat	Freq
22	104.92	11.55	0.00
20	102.83	24.88	0.00
20	87.62	43.83	0.05
90	104.21	34.86	0.00
200	104.21	34.86	0.00
20	115.52	25.65	0.00
20	115.52	25.65	0.00
20	132.50	47.70	0.00
154	132.50	47.70	0.00
196	132.50	47.70	-
188	81.30	43.90	0.05
194	81.30	43.90	-
20	102.83	24.88	0.00
130	123.20	40.20	0.00
216	123.20	40.20	-
20	106.63	26.65	0.00
20	119.70	29.20	0.10
164	119.70	29.20	0.02
212	119.70	29.20	-
20	100.23	26.86	0.00
138	126.53	45.80	-
20	131.00	53.50	0.00
90	131.00	53.50	0.01
136	131.00	53.50	-
20	119.65	27.09	0.00
418	92.07	31.48	0.00
572	88.88	29.27	0.00
20	101.78	36.62	0.00
20	112.94	28.23	0.00
20	87.62	43.83	0.05
18	123.43	41.81	0.00
20	103.77	29.55	0.00
108	43.35	42.32	0.08
68	92.80	12.50	0.02
358	79.45	23.84	0.06
100	71.19	22.26	0.11
124	78.66	11.13	0.14
620	85.02	20.80	0.02
142	80.10	27.57	0.10
164	80.10	27.57	0.10
98	80.10	17.05	0.04
124	78.66	11.13	0.02
580	76.78	30.75	0.16
120	77.20	28.60	0.20
154	80.95	26.85	0.19
278	95.00	27.48	0.01
1728	77.57	12.97	0.09
102	80.28	13.08	0.12
152	77.59	12.97	0.07
936	73.68	24.58	0.21
62	138.58	35.65	0.00
84	138.24	36.21	0.00
114	99.05	47.38	0.03
52	106.92	47.92	0.04
38	84.12	28.39	0.34
80	80.90	28.83	0.18
50	67.02	30.21	0.36
46	74.59	35.95	0.00
38	65.09	28.49	0.34
50	67.02	30.21	0.34
60	67.02	30.21	0.27
50	74.59	35.95	0.10
60	74.59	35.95	0.02
24	65.64	28.48	0.00
50	67.02	30.21	0.08
28	67.02	30.21	0.04
50	71.78	35.84	0.00
60	71.78	35.84	0.00
32	71.68	35.78	0.00
40	73.94	33.89	0.12
50	67.02	30.21	0.34
58	68.03	26.27	0.17
58	68.00	26.00	0.28
58	68.00	26.00	0.14
50	69.86	32.67	0.30
56	69.86	32.67	0.30
50	67.03	24.89	0.32
56	67.03	24.89	0.41
46	47.12	42.83	0.13
34	47.12	42.83	0.12
178	49.00	66.00	0.07
40	47.12	42.83	0.07
22	146.19	70.77	0.14
40	68.00	65.00	0.03
60	53.18	56.83	0.33
110	129.73	62.03	0.05
50	129.73	62.03	0.06
98	104.21	35.86	0.04
